DateTime,Humidity,Temperature,Temperature_range (low),Temperature_range (high)
2016/10/9 0:00,54,21.93,21,22.8
2016/10/10 0:00,52,21.77,20.4,23.6
2016/10/11 0:00,51,21.36,19.9,23
2016/10/12 0:00,51,21.44,20,23.6
2016/10/13 0:00,52,21.22,20.1,22.3
2016/10/14 0:00,52,21.02,19.6,22.6
2016/10/15 0:00,53,21.4,20.3,22.5
2016/10/16 0:00,53,21.43,20,23
2016/10/17 0:00,53,21.67,20.5,22.7
2016/10/18 0:00,54,21.75,20.6,23.1
2016/10/19 0:00,53,21.22,20.2,22.7
2016/10/20 0:00,52,21.25,20.2,22.8
2016/10/21 0:00,50,21.09,19.4,23.1
2016/10/22 0:00,49,20.86,19.5,22.5
2016/10/23 0:00,49,20.51,19,22.2
2016/10/24 0:00,49,20.38,19.1,22.3
2016/10/25 0:00,50,20.8,19.7,22.3
2016/10/26 0:00,50,21.14,20,22.8
2016/10/27 0:00,50,21.15,20.1,22.5
2016/10/28 0:00,51,21.57,20.6,22.8
2016/10/29 0:00,52,21.79,21,22.9
2016/10/30 0:00,52,21.88,21,22.9
2016/10/31 0:00,53,21.72,20.7,22.8
2016/11/1 0:00,52,21.53,20.2,23
2016/11/2 0:00,50,21.11,19.8,22.6
2016/11/3 0:00,49,20.31,18.7,22.4
2016/11/4 0:00,50,20.76,19.4,23.1
2016/11/5 0:00,50,20.14,18.5,22.4
2016/11/6 0:00,50,19.4,17.5,22.3
2016/11/7 0:00,48,19.58,17.8,22.3
2016/11/8 0:00,47,19.31,17.6,22
2016/11/9 0:00,48,19.78,18.3,22
2016/11/10 0:00,47,20.3,19,22.3
2016/11/11 0:00,47,20.28,18.9,22.6
2016/11/12 0:00,47,20.83,19.6,22.4
2016/11/13 0:00,48,21,20,22.6
2016/11/14 0:00,48,20.95,19.9,22.5
2016/11/15 0:00,49,21.64,20.8,22.6
2016/11/16 0:00,50,21.7,20.6,22.6
2016/11/17 0:00,49,20.98,19.7,22
2016/11/18 0:00,48,20.07,18.5,22
2016/11/19 0:00,47,19.35,17.5,21.8
2016/11/20 0:00,47,19.12,17.7,21.4
2016/11/21 0:00,47,19.43,17.8,21.8
2016/11/22 0:00,47,19.94,18.3,21.8
2016/11/23 0:00,47,19.96,18.2,22
2016/11/24 0:00,48,20.16,18.5,22
2016/11/25 0:00,49,19.83,18.4,21.6
2016/11/26 0:00,48,19.69,18.1,22.3
2016/11/27 0:00,48,19.39,17.6,21.5
2016/11/28 0:00,48,20.27,17.9,23.1
2016/11/29 0:00,47,18.72,16.3,22.4
2016/11/30 0:00,44,18.11,14.9,21.4
2016/12/1 0:00,41,18.04,15.6,19.7
2016/12/2 0:00,41,18.58,16.1,21.6
2016/12/3 0:00,42,18.86,17.5,21
2016/12/4 0:00,42,18.68,16.9,20.7
2016/12/5 0:00,42,18.83,16.8,21.3
2016/12/6 0:00,42,19.24,18,21.6
2016/12/7 0:00,45,20.16,19,22.1
2016/12/8 0:00,47,20.87,20,22
2016/12/9 0:00,48,21.18,20.4,22.2
2016/12/10 0:00,49,20.92,20.2,22
2016/12/11 0:00,49,19.99,19,21.6
2016/12/12 0:00,49,19.1,17.8,21.2
2016/12/13 0:00,49,19.85,18.7,21.8
2016/12/14 0:00,49,20.44,19.3,21.6
2016/12/15 0:00,50,20.48,19.2,22.3
2016/12/16 0:00,50,21.24,19.5,24.8
2016/12/18 0:00,48,23.57,19.8,25.2
2016/12/19 0:00,48,21.12,19.1,23
2016/12/20 0:00,47,20.16,18.2,22.1
2016/12/21 0:00,47,20.07,18.9,22.2
2016/12/22 0:00,47,19.56,17.6,21.7
2016/12/23 0:00,47,18.88,17.1,21.7
2016/12/24 0:00,47,19.15,17.3,21.7
2016/12/25 0:00,47,19.77,18.4,22
2016/12/26 0:00,48,19.61,17.8,21.7
2016/12/27 0:00,45,18.79,17.2,21.3
2016/12/28 0:00,43,18.48,16.1,21.2
2016/12/29 0:00,41,18.74,16.1,21.4
2016/12/30 0:00,42,18.48,16.4,21.1
2016/12/31 0:00,44,19.14,17.2,22.1
2017/1/1 0:00,45,19.32,17.7,21.4
2017/1/2 0:00,46,18.76,16.9,21.4
2017/1/3 0:00,45,18.64,16.5,21.5
2017/1/4 0:00,43,18.52,16.3,21.5
2017/1/5 0:00,43,18.48,16.5,21.2
2017/1/6 0:00,41,18.6,16.2,21.7
2017/1/7 0:00,44,19.38,18,22
2017/1/8 0:00,45,20.13,18.9,22.1
2017/1/9 0:00,47,20.07,18.3,23.2
2017/1/10 0:00,45,19.63,17.6,22.8
2017/1/11 0:00,46,19.81,18,22.9
2017/1/12 0:00,45,19.59,17.6,22.8
2017/1/13 0:00,43,18.71,17.1,22.1
2017/1/14 0:00,42,18.89,16.3,23
2017/1/15 0:00,43,19.41,17.4,23.2
2017/1/16 0:00,45,20.09,18.1,23.4
2017/1/17 0:00,45,19.84,17.5,23
2017/1/18 0:00,45,19.61,17.8,23.2
2017/1/19 0:00,43,19.61,17.4,23.4
2017/1/20 0:00,42,19.43,17.3,23
2017/1/21 0:00,40,19.3,16.6,22.9
2017/1/22 0:00,39,20.45,18.1,23.3
2017/1/23 0:00,39,20.55,18.2,23.3
2017/1/24 0:00,39,19.92,17.7,23.8
2017/1/25 0:00,39,21.08,17.8,24.7
2017/1/26 0:00,38,19.9,18.1,22.8
2017/1/27 0:00,37,19.15,16.8,23.2
2017/1/28 0:00,39,19.87,18.1,22.7
2017/1/29 0:00,39,19.53,17.9,22.2
